year,Territory/Province,avg temp,avg rain
1990,QC,4.166254635352285,69.03405247813413
1990,NB,6.972000000000004,85.05533333333332
1990,NS,8.141506129597197,94.7911564625851
1990,PE,7.754166666666664,72.33452380952383
1990,NL,5.2378947368421045,88.55364238410591
1990,XX,9.316666666666666,67.78333333333335
1991,BC,8.592425401683228,97.22291060291056
1991,YT,-2.879878048780489,25.991160220994477
1991,NT,-4.7581497797356835,15.691450777202075
1991,NU,-9.146298788694498,18.814509803921588
1991,AB,3.0977437550362636,30.179809681423194
1991,SK,3.0303532008830056,32.310081112398635
1991,MB,3.1090452261306556,41.796210268948656
1991,ON,7.26913774973711,65.93357829282078
1991,QC,4.166254635352285,69.03405247813413
1991,NB,6.972000000000004,85.05533333333332
1991,NS,8.141506129597197,94.7911564625851
1991,PE,7.754166666666664,72.33452380952383
1991,NL,5.2378947368421045,88.55364238410591
1991,XX,9.316666666666666,67.78333333333335
1992,BC,8.592425401683228,97.22291060291056
1992,YT,-2.879878048780489,25.991160220994477
1992,NT,-4.7581497797356835,15.691450777202075
1992,NU,-9.146298788694498,18.814509803921588
1992,AB,3.0977437550362636,30.179809681423194
1992,SK,3.0303532008830056,32.310081112398635
1992,MB,3.1090452261306556,41.796210268948656
1992,ON,7.26913774973711,65.93357829282078
1992,QC,4.166254635352285,69.03405247813413
1992,NB,6.972000000000004,85.05533333333332
1992,NS,8.141506129597197,94.7911564625851
1992,PE,7.754166666666664,72.33452380952383
1992,NL,5.2378947368421045,88.55364238410591
1992,XX,9.316666666666666,67.78333333333335
1993,BC,8.592425401683228,97.22291060291056
1993,YT,-2.879878048780489,25.991160220994477
1993,NT,-4.7581497797356835,15.691450777202075
1993,NU,-9.146298788694498,18.814509803921588
1993,AB,3.0977437550362636,30.179809681423194
1993,SK,3.0303532008830056,32.310081112398635
1993,MB,3.1090452261306556,41.796210268948656
1993,ON,7.26913774973711,65.93357829282078
1993,QC,4.166254635352285,69.03405247813413
1993,NB,6.972000000000004,85.05533333333332
1993,NS,8.141506129597197,94.7911564625851
1993,PE,7.754166666666664,72.33452380952383
1993,NL,5.2378947368421045,88.55364238410591
1993,XX,9.316666666666666,67.78333333333335
1994,BC,8.592425401683228,97.22291060291056
1994,YT,-2.879878048780489,25.991160220994477
1994,NT,-4.7581497797356835,15.691450777202075
1994,NU,-9.146298788694498,18.814509803921588
1994,AB,3.0977437550362636,30.179809681423194
1994,SK,3.0303532008830056,32.310081112398635
1994,MB,3.1090452261306556,41.796210268948656
1994,ON,7.26913774973711,65.93357829282078
1994,QC,4.166254635352285,69.03405247813413
1994,NB,6.972000000000004,85.05533333333332
1994,NS,8.141506129597197,94.7911564625851
1994,PE,7.754166666666664,72.33452380952383
1994,NL,5.2378947368421045,88.55364238410591
1994,XX,9.316666666666666,67.78333333333335
1995,BC,8.592425401683228,97.22291060291056
1995,YT,-2.879878048780489,25.991160220994477
1995,NT,-4.7581497797356835,15.691450777202075
1995,NU,-9.146298788694498,18.814509803921588
1995,AB,3.0977437550362636,30.179809681423194
1995,SK,3.0303532008830056,32.310081112398635
1995,MB,3.1090452261306556,41.796210268948656
1995,ON,7.26913774973711,65.93357829282078
1995,QC,4.166254635352285,69.03405247813413
1995,NB,6.972000000000004,85.05533333333332
